time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2013-10-15T08:42:49.580Z,9.7931,123.6885,16.01,5.7,mww,,17,3.289,0.61,us,usb000kdj6,2022-07-25T23:35:56.960Z,"11 km W of Loon, Philippines",earthquake,,2.8,,,reviewed,us,us
2013-10-15T08:52:18.090Z,9.9194,124.0356,10,5.3,mb,,45,3.216,0.69,us,usb000kdjb,2022-05-03T16:29:23.611Z,"4 km SSE of Clarin, Philippines",earthquake,,1.6,0.05,,reviewed,us,us
2013-10-15T09:18:19.720Z,9.7962,124.0494,12.62,4.7,mb,,62,3.103,1.08,us,usb000kdjs,2013-12-30T23:41:09.000Z,"9 km ENE of Balilihan, Philippines",earthquake,,3.7,0.077,,reviewed,us,us
2013-10-15T09:33:52.080Z,9.7816,124.4266,19.87,4.4,mb,,150,8.94,0.99,us,usb000kixz,2013-12-30T23:41:09.000Z,"1 km ENE of Lombog, Philippines",earthquake,,4.6,0.123,,reviewed,us,us
2013-10-15T09:47:13.470Z,9.7405,124.1799,19.1,4.7,mb,,89,2.993,1.32,us,usb000kdk7,2013-12-30T23:41:09.000Z,"4 km S of Nueva Vida Sur, Philippines",earthquake,,3.6,0.075,,reviewed,us,us
2013-10-15T10:07:23.930Z,9.9897,123.8365,23.31,4.6,mb,,117,3.374,1.15,us,usb000kdkg,2013-12-30T23:41:09.000Z,"9 km NNW of San Isidro, Philippines",earthquake,,5.5,0.101,,reviewed,us,us
2013-10-15T10:11:24.620Z,9.7865,124.1275,20.23,4.5,mb,,73,3.057,0.85,us,usb000kiy0,2013-12-30T23:41:09.000Z,"2 km WNW of Batuan, Philippines",earthquake,,4.9,0.139,,reviewed,us,us
2013-10-15T10:47:44.430Z,9.6909,123.8383,10,4.5,mb,,66,3.122,1.15,us,usb000kiy2,2013-12-30T23:41:09.000Z,"3 km WSW of De la Paz, Philippines",earthquake,,1.9,0.104,,reviewed,us,us
2013-10-15T10:49:53.180Z,9.8713,123.7484,13.8,4.6,mb,,58,3.32,1.11,us,usb000kdl1,2013-12-30T23:41:09.000Z,"9 km NNW of Loon, Philippines",earthquake,,3.8,0.072,,reviewed,us,us
2013-10-15T13:01:16.080Z,9.9334,124.1521,20.41,4.9,mb,,83,3.176,1.01,us,usb000kdms,2013-12-30T23:41:09.000Z,"6 km E of Canmaya Diot, Philippines",earthquake,,2.8,0.084,,reviewed,us,us
2013-10-15T13:18:48.040Z,9.924,124.3892,20,4.4,mb,,156,8.965,0.5,us,usb000kiy9,2013-12-30T23:41:09.000Z,"4 km N of La Hacienda, Philippines",earthquake,,3,0.19,,reviewed,us,us
2013-10-15T13:51:20.290Z,9.8126,123.8515,20.78,5.1,mb,,55,3.216,1.07,us,usb000kdnn,2022-05-03T16:38:22.050Z,"6 km ENE of Loon, Philippines",earthquake,,1.3,0.061,,reviewed,us,us
2013-10-15T14:14:26.410Z,9.7806,124.3691,28.05,4.5,mb,,169,2.947,0.91,us,usb000kiyd,2013-12-30T23:41:09.000Z,"3 km NE of Mayana, Philippines",earthquake,,6.3,0.136,,reviewed,us,us
2013-10-15T15:08:50.180Z,9.7375,124.0851,20.07,4.6,mb,,155,21.613,0.91,us,usb000kiyi,2013-12-30T23:41:09.000Z,"8 km SW of Batuan, Philippines",earthquake,,2.7,0.207,,reviewed,us,us
2013-10-15T15:42:04.840Z,10.0208,124.2895,20.2,4.5,mb,,93,3.197,0.82,us,usb000kiyj,2013-12-30T23:41:09.000Z,"5 km WSW of Hinlayagan Ilaud, Philippines",earthquake,,3,0.128,,reviewed,us,us
2013-10-15T16:05:57.130Z,9.8624,124.0233,20,4.7,mb,,65,3.172,0.86,us,usb000kiyl,2013-12-30T23:41:09.000Z,"9 km SW of Sagbayan, Philippines",earthquake,,3,0.12,,reviewed,us,us
2013-10-15T16:57:18.340Z,9.9047,124.1727,20.12,4.8,mb,,97,8.764,1.14,us,usb000kdtk,2013-12-30T23:41:09.000Z,"6 km N of Nueva Fuerza, Philippines",earthquake,,2.7,0.078,,reviewed,us,us
2013-10-15T17:32:33.680Z,10.0682,124.1852,9.57,4.7,mb,,85,3.282,1.18,us,usb000kduz,2013-12-30T23:41:09.000Z,"9 km SSE of Jetafe, Philippines",earthquake,,5.2,0.093,,reviewed,us,us
2013-10-15T19:30:33.990Z,9.9988,124.1999,9.94,4.5,mb,,125,3.214,1.39,us,usb000kiyq,2013-12-30T23:41:09.000Z,"13 km ENE of Canmaya Diot, Philippines",earthquake,,3.8,0.131,,reviewed,us,us
2013-10-15T19:47:49.280Z,9.6852,123.7557,11.75,4.5,mb,,119,3.163,0.88,us,usb000kiys,2013-12-30T23:41:10.000Z,"6 km NNW of San Agustin, Philippines",earthquake,,3.8,0.103,,reviewed,us,us
2013-10-15T20:34:21.030Z,10.3032,124.8132,4.88,4.2,mb,,178,3.3,0.79,us,usb000kiyv,2013-12-30T23:41:10.000Z,"3 km NE of Matalom, Philippines",earthquake,,3.4,0.175,,reviewed,us,us
