rep,scenario,status,n,n_sh,n_ns,true_mu,true_beta,true_Ksh,true_Kns,true_ash,true_ans,true_R,mu_hat,beta_hat,Ksh_hat,Kns_hat,ash_hat,ans_hat,R_hat,ll2,aic2,ll1,aic1,LR,lrt_p,R_lo,R_hi,R_covered,n_boot_ok,ks_p
21,A,ok,322,274,48,2.5,4.0,0.15,0.02,1.2,0.2,7.5,2.608051824230155,3.0205173652074335,0.28456546983784964,2.2896932855253057e-07,0.2538884494321501,0.059222213737201775,1242810.4307104351,95.74950998949589,-179.49901997899178,91.98444182903006,-175.96888365806012,7.5301363209316605,0.02316603317387833,0.229192586963897,302.9976998266644,True,34,0.48928099656996227
22,A,ok,350,298,52,2.5,4.0,0.15,0.02,1.2,0.2,7.5,2.691898347495436,4.324044675410551,0.17965061913012514,0.07762490308467887,1.0527007729583169,0.952840132982383,2.3143425884106965,145.81436800888173,-279.62873601776346,145.26544854088593,-282.53089708177185,1.0978389359916036,0.5775735600454687,0.13482094822767413,920.9831612263964,True,28,0.9194740952057494
23,A,ok,326,275,51,2.5,4.0,0.15,0.02,1.2,0.2,7.5,2.7188233220508464,4.282085461423014,0.10393541658216159,0.33338697201470374,1.2472413803810878,0.6320843956972722,0.3117560831908501,105.18230630711469,-198.36461261422937,104.58812073205479,-201.17624146410958,1.1883711501197922,0.5520119551495802,0.1899693911578664,2927.6019658722385,True,29,0.47302391440681
24,A,ok,324,279,45,2.5,4.0,0.15,0.02,1.2,0.2,7.5,2.1339163734716893,3.686408688214932,0.26793139960497186,9.999999999999982e-09,0.9558855614145751,6.985302898317683e-05,26793139.960497234,128.89850495484632,-245.79700990969263,123.91542562820945,-239.8308512564189,9.966158653273737,0.006852927630931149,0.260160688762318,2203.9162398273743,True,31,0.8196571962231908
25,A,ok,246,213,33,2.5,4.0,0.15,0.02,1.2,0.2,7.5,2.5168250383907496,9.020584989970192,0.005988345979758879,0.3500220753986678,2.25,1.000000420324387e-06,0.017108480866351868,6.64346646285685,-1.2869329257136997,4.547484576069763,-1.0949691521395266,4.191963773574173,0.12294946191454115,0.12032921928493827,41.83827174169976,True,29,0.8323524340693321
26,A,ok,341,292,49,2.5,4.0,0.15,0.02,1.2,0.2,7.5,2.6415148745512083,3.226578667446435,0.24488339101708798,2.668499033690897e-07,0.6863260105964696,0.04634485109232264,917682.1423779231,125.24750589977458,-238.49501179954916,122.95674037998293,-237.91348075996586,4.581531039583297,0.10118897003764782,0.10311318224976763,29.628875904181864,True,31,0.825273404180743
27,A,ok,321,274,47,2.5,4.0,0.15,0.02,1.2,0.2,7.5,2.933677176850169,4.802328469098442,0.053466215326215726,0.030070255154719654,1.70647672555732,0.13065793764688724,1.7780432873321987,106.3348392200237,-200.6696784400474,106.01113619953276,-204.0222723990655,0.6474060409818776,0.7234650647790992,0.1276248131078169,28.927390323451696,True,30,0.8439960172620917
28,A,ok,293,252,41,2.5,4.0,0.15,0.02,1.2,0.2,7.5,2.167629719773788,4.218253938106379,0.1818765383581471,5.913129278256916e-08,1.1602336853183064,0.009104748557824734,3075808.5913481163,81.45627636415873,-150.91255272831745,78.24729402601707,-148.49458805203415,6.4179646762833045,0.04039770356255468,0.16171586594840817,37.77327162548751,True,30,0.4881912126974072
29,A,ok,317,268,49,2.5,4.0,0.15,0.02,1.2,0.2,7.5,2.0967682237782848,3.6166644463375395,0.2649072286506228,0.22711105768370718,0.8545163659044276,0.5934025333252696,1.1664215355799783,109.16247625732638,-206.32495251465275,109.00935608393291,-210.01871216786583,0.3062403467869217,0.858026603646848,0.3132221514244746,2754.5688128883808,True,27,0.7144860451597729
30,A,ok,262,226,36,2.5,4.0,0.15,0.02,1.2,0.2,7.5,2.3311732737915314,7.616874660854143,0.10608577506265898,6.76411516212241e-08,1.3691055613648375,0.10376749147485828,1568361.4563027625,33.54259188372487,-55.085183767449735,31.78702217087067,-55.57404434174134,3.511139425708393,0.17280876286835944,0.1742379254882727,1385.1558664678096,True,33,0.9323606983860672
