time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2016-11-13T12:56:22.280Z,-42.4801,172.9259,10,4.7,mb,,138,0.569,0.47,us,us10007dbh,2017-02-09T03:02:22.040Z,"76 km NNE of Amberley, New Zealand",earthquake,4.3,1.8,0.166,11,reviewed,us,us
2016-11-13T12:59:08.950Z,-41.7893,174.2408,8.91,4.6,mb,,106,0.045,0.67,us,us10007dec,2017-02-09T03:02:22.040Z,"38 km SE of Blenheim, New Zealand",earthquake,4.6,6.7,0.193,8,reviewed,us,us
2016-11-13T13:04:58.390Z,-41.7298,174.0892,10,4.4,mb,,130,0.095,0.6,us,us10007def,2017-02-09T03:02:22.040Z,"26 km SSE of Blenheim, New Zealand",earthquake,4.1,1.9,0.202,10,reviewed,us,us
2016-11-13T13:05:37.850Z,-41.9462,174.1619,10,4.5,mb,,173,0.2,0.65,us,us10007df0,2017-02-09T03:02:22.040Z,"50 km SSE of Blenheim, New Zealand",earthquake,1.4,1.9,0.191,8,reviewed,us,us
2016-11-13T13:09:59.460Z,-41.6612,174.1628,10.04,4.1,mb,,84,0.095,0.27,us,us10007dfc,2017-02-09T03:02:22.040Z,"23 km SE of Blenheim, New Zealand",earthquake,4.2,7,0.213,6,reviewed,us,us
2016-11-13T13:12:30.690Z,-41.8693,174.0366,20.18,4.9,mb,,58,0.178,0.81,us,us100077ac,2017-02-09T03:02:22.040Z,"39 km S of Blenheim, New Zealand",earthquake,3.2,3.7,0.136,17,reviewed,us,us
2016-11-13T13:17:47.510Z,-42.3804,173.911,17.67,4.8,mb,,76,0.277,0.53,us,us10007dbk,2017-02-09T03:02:22.040Z,"96 km S of Blenheim, New Zealand",earthquake,6.8,4.5,0.109,30,reviewed,us,us
2016-11-13T13:21:12.440Z,-41.8095,174.2184,10,5.3,mb,,52,0.06,0.92,us,us100077ag,2017-02-09T03:02:22.040Z,"39 km SE of Blenheim, New Zealand",earthquake,4.4,1.7,0.07,67,reviewed,us,us
2016-11-13T13:25:25.050Z,-41.789,174.3155,14.73,4.7,mb,,107,0.085,0.6,us,us10007df6,2017-02-09T03:02:22.040Z,"42 km SE of Blenheim, New Zealand",earthquake,3.1,0.8,0.246,7,reviewed,us,us
2016-11-13T13:27:18.150Z,-41.6938,174.2267,19.64,4.6,mb,,99,0.056,0.62,us,us10007dd2,2017-02-09T03:02:22.040Z,"30 km SE of Blenheim, New Zealand",earthquake,5.5,1.7,0.207,7,reviewed,us,us
2016-11-13T13:29:42.620Z,-41.6871,174.2898,10,4.4,mb,,99,0.084,1.15,us,us10007dbl,2017-02-09T03:02:22.040Z,"33 km SE of Blenheim, New Zealand",earthquake,2.5,1.9,0.144,14,reviewed,us,us
2016-11-13T13:29:59.470Z,-42.2076,173.6032,14.18,4.3,mb,,135,0.213,0.59,us,us10007dfd,2017-02-09T03:02:22.040Z,"82 km SSW of Blenheim, New Zealand",earthquake,4.4,3.5,0.189,13,reviewed,us,us
2016-11-13T13:31:25.660Z,-42.3093,173.6961,2.09,6.2,mww,,61,0.157,0.64,us,us100077aj,2022-05-03T19:47:55.602Z,"90 km SSW of Blenheim, New Zealand",earthquake,3.6,3.1,,,reviewed,us,us
2016-11-13T13:36:06.980Z,-42.6237,173.7892,10,4.5,mb,,160,0.278,0.92,us,us10007dbs,2017-02-09T03:02:22.040Z,"104 km NE of Amberley, New Zealand",earthquake,2.6,1.9,0.242,9,reviewed,us,us
2016-11-13T13:42:29.630Z,-42.335,173.6935,19.6,4.1,mb,,172,0.14,0.34,us,us10007dbp,2017-02-09T03:02:22.040Z,"93 km SSW of Blenheim, New Zealand",earthquake,3.2,5.7,0.302,3,reviewed,us,us
2016-11-13T13:43:03.370Z,-42.0731,173.8082,19.77,4.6,mb,,151,0.361,0.58,us,us10007dep,2017-02-09T03:02:22.040Z,"63 km S of Blenheim, New Zealand",earthquake,2.9,5.3,0.152,13,reviewed,us,us
2016-11-13T13:49:59.160Z,-41.78,174.3672,11.07,5.2,mb,,55,0.118,0.75,us,us100077al,2017-02-09T03:02:22.040Z,"45 km SE of Blenheim, New Zealand",earthquake,3.9,1.5,0.098,34,reviewed,us,us
2016-11-13T13:53:36.380Z,-41.8294,174.1575,9.56,4.9,mb,,100,0.09,0.67,us,us10007dd3,2017-02-09T03:02:22.040Z,"38 km SSE of Blenheim, New Zealand",earthquake,3.3,4.3,0.117,24,reviewed,us,us
2016-11-13T13:57:10.840Z,-41.9823,173.9062,21.76,4.6,mb,,68,0.268,0.81,us,us10007dd4,2017-02-09T03:02:22.040Z,"51 km S of Blenheim, New Zealand",earthquake,3.1,6.8,0.194,11,reviewed,us,us
